Rank,Title
1,인생샷 남기려다가... 제주 외돌개 절벽서 추락한 관광객
2,주말 밤 만나 밥 먹고 함께 차 타고 갔다…한동훈·이정재  무슨 사이?
3,초등생 장래희망 직업서 의사 2위로 껑충... 그럼 1위는?
4,한국 방문했던 13세 소녀 인질 풀려나... 엄마는 남겨졌다
5,박형준  딸 입시 비리 의혹 제기한 교수에 2000만원 물어준다
6,[단독] 황의조 ‘불법 촬영 영상’  휴대폰 말고 저장한 기기 또 있다
7,[단독] ‘인사 잡음 국정원’ 김규현 원장 전격 경질  1·2차장도 교체
8,새벽 근무 중 발 헛디뎌 숨진 25년차 군인…법원 “순직 인정해야”
9,톨비 내려고 내렸다가...70대  자기 차와 벽사이 끼여 숨져
10,[만물상]  운동권 의전[儀典]
11,위성으로 한미 軍시설 찍었다는 北  왜 사진 공개는 안할까
12,인요한 “이준석  버르장머리 없어… 부모 잘못도 있다”
13,‘정치글 판사’ 논란에… 법관대표회의 “SNS 사용 윤리 논의”
14,“그냥...죽이고 싶은 날이 있어요” 그의 차에 타면 ‘끝’이었다
15,‘허경영 하늘궁’서 80대 남성 숨져...‘불로유’ 마셨다
16,청룡영화상 마지막 진행 김혜수  30년간 그녀는 ‘청룡’ 그 자체였다
17,“차라리 죽은 게 축복” 통곡한 아버지  50일만에 9세 딸 다시 만났다
18,“내년 상반기에 곡소리 날판” 금감원  홍콩 ELS 전수조사 착수 예정
19,실수로 밟은 엑셀에 참변… 생일 앞둔 막내딸  4명 살리고 떠났다
20,中  부동산의 인질됐다... 시진핑표 공동부유 접고 부양책 꺼낸 이유
